In 2023 Dollars,STATE,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,In Current Dollars,STATE,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,,,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Nebraska - Lincoln,NE,"$28,098","$28,541","$28,962","$29,381","$30,194","$30,386","$30,870","$31,538","$30,157","$27,954","$27,680",-1.0%,-8.9%,,University of Nebraska - Lincoln,NE,"$21,403","$22,093","$22,446","$23,058","$24,201","$24,949","$25,806","$26,690","$26,720","$26,750","$27,680",3.5%,10.9%
University of New Hampshire,NH,"$38,355","$38,151","$39,040","$40,041","$40,720","$41,261","$42,357","$42,870","$41,985","$39,641","$38,882",-1.9%,-5.8%,,University of New Hampshire,NH,"$29,216","$29,532","$30,256","$31,424","$32,637","$33,879","$35,409","$36,280","$37,200","$37,934","$38,882",2.5%,14.8%
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,"$36,132","$36,935","$38,091","$38,256","$38,152","$38,099","$38,505","$37,588","$37,256","$35,491","$36,001",1.4%,-5.5%,,"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,"$27,523","$28,591","$29,521","$30,023","$30,579","$31,282","$32,189","$31,810","$33,010","$33,963","$36,001",6.0%,15.1%
University of New Mexico,NM,"$27,159","$26,679","$27,489","$27,952","$27,495","$27,508","$27,863","$28,950","$28,487","$27,601","$33,217",20.3%,20.8%,,University of New Mexico,NM,"$20,688","$20,652","$21,304","$21,936","$22,037","$22,586","$23,292","$24,500","$25,240","$26,412","$33,217",25.8%,47.1%
University of Nevada: Reno,NV,"$26,929","$26,546","$26,828","$26,826","$27,106","$27,081","$27,615","$28,383","$27,855","$26,479","$25,968",-1.9%,-4.1%,,University of Nevada: Reno,NV,"$20,513","$20,549","$20,792","$21,053","$21,726","$22,236","$23,085","$24,020","$24,680","$25,339","$25,968",2.5%,16.8%
State University of New York at Buffalo,NY,"$26,736","$28,796","$31,665","$34,167","$34,108","$33,820","$33,726","$33,323","$32,392","$29,994","$30,572",1.9%,-9.6%,,State University of New York at Buffalo,NY,"$20,366","$22,291","$24,541","$26,814","$27,338","$27,769","$28,194","$28,200","$28,700","$28,702","$30,572",6.5%,10.1%
Ohio State University: Columbus Campus,OH,"$33,814","$34,281","$35,309","$37,245","$37,049","$37,441","$38,352","$39,585","$39,525","$38,374","$38,365",0.0%,2.5%,,Ohio State University: Columbus Campus,OH,"$25,757","$26,537","$27,365","$29,229","$29,695","$30,742","$32,061","$33,500","$35,020","$36,722","$38,365",4.5%,24.8%
University of Oklahoma,OK,"$27,705","$28,768","$30,291","$32,114","$33,586","$33,059","$32,470","$31,987","$31,398","$29,983","$29,563",-1.4%,-10.6%,,University of Oklahoma,OK,"$21,104","$22,269","$23,476","$25,203","$26,919","$27,144","$27,144","$27,070","$27,820","$28,692","$29,563",3.0%,8.9%
University of Oregon,OR,"$39,105","$39,902","$41,321","$42,613","$43,182","$43,209","$43,800","$46,451","$45,664","$43,577","$43,300",-0.6%,0.2%,,University of Oregon,OR,"$29,788","$30,888","$32,024","$33,442","$34,611","$35,478","$36,615","$39,310","$40,460","$41,700","$43,300",3.8%,22.0%
Penn State University Park,PA,"$38,814","$39,339","$40,446","$41,262","$42,001","$42,454","$42,483","$41,960","$41,172","$39,817","$39,626",-0.5%,-6.7%,,Penn State University Park,PA,"$29,566","$30,452","$31,346","$32,382","$33,664","$34,858","$35,514","$35,510","$36,480","$38,102","$39,626",4.0%,13.7%
University of Rhode Island,RI,"$36,779","$36,264","$37,228","$36,792","$37,482","$37,587","$37,904","$38,498","$37,640","$35,908","$35,804",-0.3%,-4.7%,,University of Rhode Island,RI,"$28,016","$28,072","$28,852","$28,874","$30,042","$30,862","$31,686","$32,580","$33,350","$34,362","$35,804",4.2%,16.0%
University of South Carolina,SC,"$37,451","$38,032","$39,094","$39,861","$40,377","$40,554","$40,586","$40,093","$38,294","$35,455","$34,934",-1.5%,-13.9%,,University of South Carolina,SC,"$28,528","$29,440","$30,298","$31,282","$32,362","$33,298","$33,928","$33,930","$33,930","$33,928","$34,934",3.0%,4.9%
University of South Dakota,SD,"$13,264","$13,053","$14,628","$14,893","$14,997","$15,132","$15,320","$15,137","$14,604","$13,524","$12,942",-4.3%,-14.5%,,University of South Dakota,SD,"$10,104","$10,104","$11,337","$11,688","$12,020","$12,425","$12,807","$12,810","$12,940","$12,942","$12,942",0.0%,4.2%
University of Tennessee: Knoxville,TN,"$38,575","$38,840","$39,517","$39,392","$38,877","$37,994","$37,626","$37,435","$35,737","$33,089","$31,974",-3.4%,-15.8%,,University of Tennessee: Knoxville,TN,"$29,384","$30,066","$30,626","$30,914","$31,160","$31,196","$31,454","$31,680","$31,664","$31,664","$31,974",1.0%,2.5%
University of Texas at Austin,TX,"$44,404","$44,855","$44,949","$45,753","$46,143","$45,944","$45,729","$45,293","$43,621","$40,389","$40,582",0.5%,-11.7%,,University of Texas at Austin,TX,"$33,824","$34,722","$34,836","$35,906","$36,984","$37,724","$38,228","$38,330","$38,650","$38,650","$40,582",5.0%,7.6%
University of Utah,UT,"$31,160","$32,641","$33,576","$34,454","$35,018","$35,581","$36,045","$35,603","$35,428","$34,532","$33,045",-4.3%,-7.1%,,University of Utah,UT,"$23,736","$25,267","$26,022","$27,039","$28,067","$29,215","$30,132","$30,130","$31,390","$33,045","$33,045",0.0%,13.1%
University of Virginia,VA,"$52,307","$54,495","$55,589","$57,414","$57,295","$57,926","$59,776","$61,245","$58,621","$56,835","$56,428",-0.7%,-2.6%,,University of Virginia,VA,"$39,844","$42,184","$43,082","$45,058","$45,922","$47,562","$49,970","$51,830","$51,940","$54,388","$56,428",3.8%,18.6%
University of Vermont,VT,"$48,109","$48,888","$50,490","$51,433","$51,598","$51,780","$52,263","$51,934","$49,536","$45,865","$43,890",-4.3%,-15.2%,,University of Vermont,VT,"$36,646","$37,844","$39,130","$40,364","$41,356","$42,516","$43,690","$43,950","$43,890","$43,890","$43,890",0.0%,3.2%
University of Washington,WA,"$41,971","$43,293","$44,055","$44,332","$44,339","$44,561","$45,655","$46,214","$45,044","$42,573","$41,997",-1.4%,-5.8%,,University of Washington,WA,"$31,971","$33,513","$34,143","$34,791","$35,538","$36,588","$38,166","$39,110","$39,910","$40,740","$41,997",3.1%,14.8%
University of Wisconsin-Madison,WI,"$34,990","$34,440","$38,277","$41,716","$43,397","$44,825","$45,200","$45,647","$43,626","$41,201","$40,603",-1.5%,-9.4%,,University of Wisconsin-Madison,WI,"$26,653","$26,660","$29,665","$32,738","$34,783","$36,805","$37,785","$38,630","$38,654","$39,427","$40,603",3.0%,10.3%
West Virginia University,WV,"$25,773","$26,384","$27,654","$28,655","$29,465","$30,387","$30,289","$29,919","$29,141","$27,764","$27,360",-1.5%,-10.0%,,West Virginia University,WV,"$19,632","$20,424","$21,432","$22,488","$23,616","$24,950","$25,320","$25,320","$25,820","$26,568","$27,360",3.0%,9.7%
University of Wyoming,WY,"$18,542","$19,217","$20,169","$20,662","$20,994","$21,301","$21,713","$23,078","$23,306","$22,562","$22,478",-0.4%,5.5%,,University of Wyoming,WY,"$14,124","$14,876","$15,631","$16,215","$16,827","$17,490","$18,151","$19,530","$20,650","$21,591","$22,478",4.1%,28.5%
