In 2023 Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,,In Current Dollars,STATE,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,,,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Nebraska - Lincoln,NE,"$10,601","$10,425","$10,682","$10,879","$11,105","$11,149","$11,204","$11,297","$10,824","$10,053","$9,950",-1.0%,-10.8%,,University of Nebraska - Lincoln,NE,"$8,075","$8,070","$8,279","$8,538","$8,901","$9,154","$9,366","$9,560","$9,590","$9,620","$9,950",3.4%,8.7%
University of New Hampshire,NH,"$21,656","$21,382","$21,917","$22,457","$22,541","$22,530","$22,584","$22,380","$21,399","$19,880","$19,112",-3.9%,-15.2%,,University of New Hampshire,NH,"$16,496","$16,552","$16,986","$17,624","$18,067","$18,499","$18,879","$18,940","$18,960","$19,024","$19,112",0.5%,3.3%
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,"$17,721","$17,844","$18,233","$18,313","$18,263","$18,237","$18,430","$17,760","$17,832","$16,995","$17,239",1.4%,-5.5%,,"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,"$13,499","$13,813","$14,131","$14,372","$14,638","$14,974","$15,407","$15,030","$15,800","$16,263","$17,239",6.0%,15.1%
University of New Mexico,NM,"$8,464","$8,328","$8,599","$8,856","$8,916","$8,918","$9,039","$10,469","$9,605","$10,550","$10,296",-2.4%,15.5%,,University of New Mexico,NM,"$6,447","$6,447","$6,664","$6,950","$7,146","$7,322","$7,556","$8,860","$8,510","$10,096","$10,296",2.0%,40.6%
University of Nevada: Reno,NV,"$8,668","$8,577","$8,880","$9,102","$9,405","$9,456","$9,611","$9,890","$9,695","$9,193","$9,012",-2.0%,-4.7%,,University of Nevada: Reno,NV,"$6,603","$6,639","$6,882","$7,143","$7,538","$7,764","$8,034","$8,370","$8,590","$8,797","$9,012",2.4%,16.1%
State University of New York at Buffalo,NY,"$11,062","$11,460","$12,208","$12,199","$12,262","$12,300","$12,589","$12,443","$12,167","$11,267","$10,782",-4.3%,-12.3%,,State University of New York at Buffalo,NY,"$8,426","$8,871","$9,461","$9,574","$9,828","$10,099","$10,524","$10,530","$10,780","$10,782","$10,782",0.0%,6.8%
Ohio State University: Columbus Campus,OH,"$13,177","$12,966","$12,951","$12,789","$13,214","$13,063","$13,259","$13,613","$13,476","$13,047","$12,859",-1.4%,-1.6%,,Ohio State University: Columbus Campus,OH,"$10,037","$10,037","$10,037","$10,037","$10,591","$10,726","$11,084","$11,520","$11,940","$12,485","$12,859",3.0%,19.9%
University of Oklahoma,OK,"$11,704","$12,266","$13,019","$13,865","$14,395","$14,326","$14,068","$13,814","$13,555","$12,670","$12,493",-1.4%,-12.8%,,University of Oklahoma,OK,"$8,915","$9,495","$10,090","$10,881","$11,538","$11,763","$11,760","$11,690","$12,010","$12,125","$12,493",3.0%,6.2%
University of Oregon,OR,"$12,817","$12,812","$13,276","$13,713","$14,437","$14,491","$15,216","$16,378","$16,275","$15,731","$15,667",-0.4%,8.1%,,University of Oregon,OR,"$9,763","$9,918","$10,289","$10,762","$11,571","$11,898","$12,720","$13,860","$14,420","$15,054","$15,667",4.1%,31.7%
Penn State University Park,PA,"$22,307","$22,610","$22,598","$22,809","$23,002","$22,475","$22,070","$21,801","$21,331","$20,154","$19,672",-2.4%,-12.5%,,Penn State University Park,PA,"$16,992","$17,502","$17,514","$17,900","$18,436","$18,454","$18,450","$18,450","$18,900","$19,286","$19,672",2.0%,6.6%
University of Rhode Island,RI,"$16,344","$16,156","$16,596","$16,417","$17,208","$17,219","$17,424","$17,725","$17,302","$16,595","$16,408",-1.1%,-4.7%,,University of Rhode Island,RI,"$12,450","$12,506","$12,862","$12,884","$13,792","$14,138","$14,566","$15,000","$15,330","$15,880","$16,408",3.3%,16.1%
University of South Carolina,SC,"$14,199","$14,414","$14,815","$15,105","$15,299","$15,365","$15,180","$14,995","$14,322","$13,259","$12,688",-4.3%,-17.4%,,University of South Carolina,SC,"$10,816","$11,158","$11,482","$11,854","$12,262","$12,616","$12,690","$12,690","$12,690","$12,688","$12,688",0.0%,0.6%
University of South Dakota,SD,"$10,531","$10,363","$10,912","$10,776","$10,944","$11,035","$11,161","$11,025","$10,643","$9,856","$9,432",-4.3%,-14.5%,,University of South Dakota,SD,"$8,022","$8,022","$8,457","$8,457","$8,772","$9,061","$9,330","$9,330","$9,430","$9,432","$9,432",0.0%,4.1%
University of Tennessee: Knoxville,TN,"$14,695","$15,342","$16,046","$16,213","$16,182","$15,840","$15,862","$15,669","$14,948","$13,840","$13,484",-2.6%,-14.9%,,University of Tennessee: Knoxville,TN,"$11,194","$11,876","$12,436","$12,724","$12,970","$13,006","$13,260","$13,260","$13,244","$13,244","$13,484",1.8%,3.7%
University of Texas at Austin,TX,"$12,852","$12,657","$12,684","$12,882","$12,993","$12,937","$12,943","$12,785","$12,257","$11,347","$10,858",-4.3%,-16.1%,,University of Texas at Austin,TX,"$9,790","$9,798","$9,830","$10,110","$10,414","$10,622","$10,820","$10,820","$10,860","$10,858","$10,858",0.0%,2.2%
University of Utah,UT,"$9,790","$10,251","$10,577","$10,854","$11,009","$11,232","$11,364","$11,226","$11,083","$10,750","$10,287",-4.3%,-8.4%,,University of Utah,UT,"$7,457","$7,935","$8,197","$8,518","$8,824","$9,222","$9,500","$9,500","$9,820","$10,287","$10,287",0.0%,11.5%
University of Virginia,VA,"$16,355","$16,791","$18,668","$20,023","$20,057","$20,120","$19,905","$20,443","$19,649","$19,057","$18,816",-1.3%,-6.5%,,University of Virginia,VA,"$12,458","$12,998","$14,468","$15,714","$16,076","$16,520","$16,640","$17,300","$17,410","$18,236","$18,816",3.2%,13.9%
University of Vermont,VT,"$20,634","$20,923","$21,597","$22,044","$22,133","$22,258","$22,492","$22,522","$21,444","$19,740","$18,890",-4.3%,-15.1%,,University of Vermont,VT,"$15,718","$16,196","$16,738","$17,300","$17,740","$18,276","$18,802","$19,060","$19,000","$18,890","$18,890",0.0%,3.4%
University of Washington,WA,"$16,275","$16,011","$15,276","$13,702","$13,692","$13,649","$13,715","$13,884","$13,634","$12,793","$12,643",-1.2%,-7.4%,,University of Washington,WA,"$12,397","$12,394","$11,839","$10,753","$10,974","$11,207","$11,465","$11,750","$12,080","$12,242","$12,643",3.3%,12.8%
University of Wisconsin-Madison,WI,"$13,657","$13,448","$13,439","$13,364","$13,142","$12,855","$12,830","$12,691","$12,155","$11,282","$11,205",-0.7%,-12.8%,,University of Wisconsin-Madison,WI,"$10,403","$10,410","$10,415","$10,488","$10,533","$10,555","$10,725","$10,740","$10,770","$10,796","$11,205",3.8%,6.2%
West Virginia University,WV,"$8,475","$8,991","$9,848","$10,184","$10,450","$10,786","$10,742","$10,611","$10,316","$9,806","$9,648",-1.6%,-10.5%,,West Virginia University,WV,"$6,456","$6,960","$7,632","$7,992","$8,376","$8,856","$8,980","$8,980","$9,140","$9,384","$9,648",2.8%,8.9%
University of Wyoming,WY,"$5,782","$6,002","$6,311","$6,441","$6,509","$6,577","$6,676","$6,842","$6,885","$6,730","$6,698",-0.5%,1.8%,,University of Wyoming,WY,"$4,404","$4,646","$4,891","$5,055","$5,217","$5,400","$5,581","$5,790","$6,100","$6,441","$6,698",4.0%,24.0%
