State,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population,YEAR
Nebraska (NE),$620 ,$709 ,$902 ,"$1,154 ","$1,270 ","1,923,826",2024
Nevada (NV),$905 ,"$1,037 ","$1,310 ","$1,798 ","$2,161 ","3,030,281",2024
New Hampshire (NH),"$1,014 ","$1,122 ","$1,449 ","$1,875 ","$2,071 ","1,355,244",2024
New Jersey (NJ),"$1,386 ","$1,551 ","$1,889 ","$2,374 ","$2,695 ","8,885,418",2024
New Mexico (NM),$719 ,$811 ,$989 ,"$1,329 ","$1,585 ","2,097,021",2024
New York (NY),"$1,075 ","$1,160 ","$1,398 ","$1,758 ","$1,947 ","19,514,849",2024
North Carolina (NC),$866 ,$901 ,"$1,083 ","$1,408 ","$1,677 ","10,386,227",2024
North Dakota (ND),$722 ,$743 ,$911 ,"$1,224 ","$1,495 ","760,394",2024
Ohio (OH),$699 ,$763 ,$957 ,"$1,226 ","$1,364 ","11,675,275",2024
Oklahoma (OK),$700 ,$738 ,$933 ,"$1,215 ","$1,407 ","3,949,342",2024
Oregon (OR),$950 ,"$1,049 ","$1,307 ","$1,822 ","$2,143 ","4,176,346",2024
Pennsylvania (PA),$798 ,$877 ,"$1,084 ","$1,383 ","$1,562 ","12,794,885",2024
Puerto Rico (PR),$487 ,$502 ,$574 ,$757 ,$869 ,"3,255,642",2024
Rhode Island (RI),"$1,325 ","$1,419 ","$1,731 ","$2,121 ","$2,632 ","1,057,798",2024
South Carolina (SC),$872 ,$912 ,"$1,093 ","$1,397 ","$1,628 ","5,091,517",2024
South Dakota (SD),$663 ,$756 ,$964 ,"$1,281 ","$1,532 ","865,059",2024
Tennessee (TN),$820 ,$852 ,"$1,036 ","$1,344 ","$1,539 ","6,772,268",2024
Texas (TX),$838 ,$891 ,"$1,093 ","$1,431 ","$1,666 ","28,635,442",2024
Utah (UT),$803 ,$922 ,"$1,123 ","$1,504 ","$1,804 ","3,151,239",2024
Vermont (VT),"$1,009 ","$1,080 ","$1,331 ","$1,717 ","$1,863 ","624,340",2024
Virginia (VA),"$1,045 ","$1,072 ","$1,266 ","$1,659 ","$1,984 ","8,509,358",2024
Washington (WA),"$1,030 ","$1,142 ","$1,422 ","$1,950 ","$2,284 ","7,512,465",2024
West Virginia (WV),$695 ,$738 ,$909 ,"$1,201 ","$1,356 ","1,807,426",2024
Wisconsin (WI),$714 ,$792 ,"$1,004 ","$1,294 ","$1,445 ","5,806,975",2024
Wyoming (WY),$794 ,$818 ,"$1,036 ","$1,396 ","$1,703 ","581,348",2024
Alabama (AL),$486 ,$524 ,$657 ,$880 ,$989 ,"4,779,736",2015
Alaska (AK),$724 ,$826 ,"$1,053 ","$1,409 ","$1,622 ","710,231",2015
Arizona (AZ),$540 ,$620 ,$797 ,"$1,106 ","$1,290 ","6,392,017",2015
Arkansas (AR),$448 ,$476 ,$620 ,$834 ,$966 ,"2,915,918",2015
California (CA),$749 ,$862 ,"$1,116 ","$1,579 ","$1,845 ","37,253,956",2015
Colorado (CO),$591 ,$659 ,$851 ,"$1,174 ","$1,358 ","5,029,196",2015
Connecticut (CT),$790 ,$925 ,"$1,180 ","$1,487 ","$1,718 ","3,574,097",2015
Delaware (DE),$725 ,$840 ,"$1,042 ","$1,388 ","$1,617 ","897,934",2015
District of Columbia (DC),"$1,167 ","$1,230 ","$1,458 ","$1,951 ","$2,451 ","601,723",2015
Florida (FL),$609 ,$678 ,$842 ,"$1,138 ","$1,316 ","18,801,310",2015
Georgia (GA),$516 ,$550 ,$686 ,$918 ,"$1,067 ","9,687,653",2015
Guam (GU),$812 ,$871 ,"$1,064 ","$1,550 ","$1,853 ","159,358",2015
Hawaii (HI),$847 ,$943 ,"$1,218 ","$1,695 ","$1,939 ","1,360,301",2015
Idaho (ID),$483 ,$528 ,$674 ,$957 ,"$1,144 ","1,567,582",2015
Illinois (IL),$477 ,$559 ,$714 ,$946 ,"$1,084 ","12,716,708",2015
Indiana (IN),$458 ,$539 ,$695 ,$922 ,"$1,037 ","6,483,802",2015
Iowa (IA),$429 ,$494 ,$633 ,$850 ,$951 ,"3,046,355",2015
Kansas (KS),$438 ,$517 ,$669 ,$901 ,"$1,017 ","2,853,118",2015
Kentucky (KY),$442 ,$484 ,$620 ,$842 ,$939 ,"4,339,367",2015
Louisiana (LA),$522 ,$576 ,$719 ,$947 ,"$1,085 ","4,533,372",2015
Maine (ME),$558 ,$626 ,$768 ,"$1,006 ","$1,124 ","1,328,355",2015
Maryland (MD),$793 ,$891 ,"$1,101 ","$1,439 ","$1,680 ","5,486,467",2015
Massachusetts (MA),$812 ,$922 ,"$1,160 ","$1,459 ","$1,622 ","6,547,629",2015
Michigan (MI),$478 ,$542 ,$696 ,$935 ,"$1,066 ","9,883,640",2015
Minnesota (MN),$484 ,$562 ,$723 ,$985 ,"$1,136 ","5,303,925",2015
Mississippi (MS),$456 ,$529 ,$660 ,$886 ,$972 ,"2,967,297",2015
Missouri (MO),$436 ,$504 ,$655 ,$883 ,$994 ,"5,988,927",2015
Montana (MT),$494 ,$540 ,$685 ,$945 ,"$1,086 ","989,415",2015
Nebraska (NE),$416 ,$482 ,$626 ,$816 ,$915 ,"1,826,341",2015
Nevada (NV),$477 ,$621 ,$792 ,"$1,098 ","$1,303 ","2,700,551",2015
New Hampshire (NH),$729 ,$809 ,"$1,022 ","$1,342 ","$1,503 ","1,316,470",2015
