Country,Year,Food_Price_Index,Inflation
BEL,2020,117.978001866073,117.978001866073
BEL,2019,117.110457187971,117.110457187971
BEL,2018,115.451625636977,115.451625636977
BEL,2017,113.128902605325,113.128902605325
BEL,2016,110.773882150291,110.773882150291
BEL,2015,108.629692097897,108.629692097897
BEL,2014,108.02321825881,108.02321825881
BEL,2013,107.657180793799,107.657180793799
BEL,2012,106.47204478576,106.47204478576
BEL,2011,103.532082107227,103.532082107227
BEL,2010,100.0,100.0
BLZ,2023,121.734880395108,121.734880395108
BLZ,2022,116.61564017262,116.61564017262
BLZ,2021,109.728123082433,109.728123082433
BLZ,2020,106.288997389243,106.288997389243
BLZ,2019,106.160082270615,106.160082270615
BLZ,2018,105.961860070454,105.961860070454
BLZ,2017,105.676551744532,105.676551744532
BLZ,2016,104.477512032706,104.477512032706
BLZ,2015,103.788947954679,103.788947954679
BLZ,2014,104.690948425632,104.690948425632
BLZ,2013,103.448123042833,103.448123042833
BLZ,2012,102.923472935782,102.923472935782
BLZ,2011,101.602056156402,101.602056156402
BLZ,2010,100.0,100.0
BEN,2023,120.823695911462,120.823695911462
BEN,2022,117.611691618775,117.611691618775
BEN,2021,116.04419147224,116.04419147224
BEN,2020,114.066798322144,114.066798322144
BEN,2019,110.720040198148,110.720040198148
BEN,2018,109.914532239727,109.914532239727
BEN,2017,108.913431866169,108.913431866169
BEN,2016,108.86633100536,108.86633100536
BEN,2015,109.736884846516,109.736884846516
BEN,2014,109.497320123437,109.497320123437
BEN,2013,110.101510475881,110.101510475881
BEN,2012,109.6313139516,109.6313139516
BEN,2011,102.704239077473,102.704239077473
BEN,2010,100.0,100.0
BTN,2023,212.180694578194,212.180694578194
BTN,2022,203.570977260005,203.570977260005
BTN,2021,192.704073301911,192.704073301911
BTN,2020,179.515409348127,179.515409348127
BTN,2019,169.948393577383,169.948393577383
BTN,2018,165.437845896943,165.437845896943
BTN,2017,161.05087817625,161.05087817625
BTN,2016,153.447429647958,153.447429647958
BTN,2015,148.660722526853,148.660722526853
BTN,2014,142.193554958547,142.193554958547
BTN,2013,131.3310812,131.3310812
BTN,2012,120.734921525617,120.734921525617
BTN,2011,108.848985699468,108.848985699468
BTN,2010,100.0,100.0
BOL,2023,157.40476617273,157.40476617273
BOL,2022,153.450518176398,153.450518176398
BOL,2021,150.816761737338,150.816761737338
BOL,2020,149.712803892505,149.712803892505
BOL,2019,148.317518475358,148.317518475358
BOL,2018,145.638433874571,145.638433874571
BOL,2017,142.402953510878,142.402953510878
BOL,2016,138.493613869075,138.493613869075
BOL,2015,133.651146397123,133.651146397123
BOL,2014,128.437100493447,128.437100493447
BOL,2013,121.434460016488,121.434460016488
BOL,2012,114.846410265601,114.846410265601
BOL,2011,109.884464198239,109.884464198239
BOL,2010,100.0,100.0
BIH,2012,105.799283333333,105.799283333333
BIH,2011,103.67125,103.67125
BIH,2010,100.0,100.0
BWA,2023,191.981583240697,191.981583240697
BWA,2022,182.721938000665,182.721938000665
BWA,2021,163.633196988276,163.633196988276
BWA,2020,152.584581533137,152.584581533137
BWA,2019,149.753698758867,149.753698758867
BWA,2018,145.713267399351,145.713267399351
BWA,2017,141.143033956383,141.143033956383
BWA,2016,136.623156350634,136.623156350634
BWA,2015,132.882567987256,132.882567987256
BWA,2014,128.934551163777,128.934551163777
BWA,2013,123.497862684651,123.497862684651
BWA,2012,116.634387283833,116.634387283833
BWA,2011,108.459872334086,108.459872334086
BWA,2010,100.0,100.0
BRA,2023,213.87513528772,213.87513528772
BRA,2022,204.482120615775,204.482120615775
BRA,2021,187.117425058296,187.117425058296
BRA,2020,172.774291252888,172.774291252888
BRA,2019,167.397860280061,167.397860280061
BRA,2018,161.373814183906,161.373814183906
BRA,2017,155.668786230018,155.668786230018
BRA,2016,150.482594206408,150.482594206408
BRA,2015,138.388614560102,138.388614560102
BRA,2014,126.927212865611,126.927212865611
BRA,2013,119.372104441451,119.372104441451
BRA,2012,112.398549260784,112.398549260784
BRA,2011,106.636449622131,106.636449622131
BRA,2010,100.0,100.0
BRN,2023,106.859907015157,106.859907015157
BRN,2022,106.479705986051,106.479705986051
BRN,2021,102.69810471103,102.69810471103
BRN,2020,100.948253665821,100.948253665821
BRN,2019,99.0268165721066,99.0268165721066
BRN,2018,99.4150542992179,99.4150542992179
BRN,2017,98.4063383634936,98.4063383634936
BRN,2016,99.6625909496525,99.6625909496525
BRN,2015,99.9411201211483,99.9411201211483
BRN,2014,100.431575127898,100.431575127898
BRN,2013,100.640009374917,100.640009374917
BRN,2012,100.249831963168,100.249831963168
BRN,2011,100.137911563169,100.137911563169
BRN,2010,100.0,100.0
BGR,2023,151.670713970091,151.670713970091
BGR,2022,138.584408106261,138.584408106261
BGR,2021,120.168304321485,120.168304321485
BGR,2020,116.331973243132,116.331973243132
BGR,2019,114.418393160353,114.418393160353
BGR,2018,110.974058623258,110.974058623258
BGR,2017,107.936147464138,107.936147464138
BGR,2016,105.755888099687,105.755888099687
BGR,2015,106.607307237894,106.607307237894
BGR,2014,106.718970777133,106.718970777133
BGR,2013,108.254214513041,108.254214513041
BGR,2012,107.299151694355,107.299151694355
BGR,2011,104.219903466019,104.219903466019
BGR,2010,100.0,100.0
BFA,2023,131.759116014267,131.759116014267
BFA,2022,130.787482169834,130.787482169834
BFA,2021,114.434519867232,114.434519867232
BFA,2020,110.40098363882,110.40098363882
BFA,2019,108.359022934412,108.359022934412
BFA,2018,111.979764709293,111.979764709293
BFA,2017,109.831522699898,109.831522699898
BFA,2016,108.226524455215,108.226524455215
BFA,2015,107.751296576491,107.751296576491
BFA,2014,106.975893599335,106.975893599335
BFA,2013,107.252701579385,107.252701579385
BFA,2012,106.683291770574,106.683291770574
BFA,2011,102.759767248545,102.759767248545
BFA,2010,100.0,100.0
BDI,2023,319.517907407394,319.517907407394
BDI,2022,251.704878819603,251.704878819603
BDI,2021,211.871226580912,211.871226580912
BDI,2020,195.44497823506,195.44497823506
BDI,2019,182.112339994344,182.112339994344
BDI,2018,183.371685700859,183.371685700859
BDI,2017,188.682529221908,188.682529221908
BDI,2016,162.583720148134,162.583720148134
BDI,2015,154.023568290146,154.023568290146
BDI,2014,145.932087987576,145.932087987576
BDI,2013,139.774527564212,139.774527564212
BDI,2012,129.495248990341,129.495248990341
BDI,2011,109.592166059797,109.592166059797
BDI,2010,100.0,100.0
CPV,2022,122.222274152969,122.222274152969
CPV,2021,113.241195084123,113.241195084123
CPV,2020,111.171020616435,111.171020616435
CPV,2019,110.501606515952,110.501606515952
CPV,2018,109.292107113842,109.292107113842
CPV,2017,107.935364262011,107.935364262011
CPV,2016,107.095292454784,107.095292454784
CPV,2015,108.624526319136,108.624526319136
CPV,2014,108.48221067765,108.48221067765
CPV,2013,108.741862479707,108.741862479707
CPV,2012,107.127934238569,107.127934238569
CPV,2011,104.47388342165,104.47388342165
CPV,2010,100.0,100.0
KHM,2023,148.306623905508,148.306623905508
KHM,2022,145.217175025789,145.217175025789
KHM,2021,137.850836238126,137.850836238126
KHM,2020,133.938838017668,133.938838017668
KHM,2019,130.113128034144,130.113128034144
KHM,2018,127.633746767247,127.633746767247
KHM,2017,124.570453245464,124.570453245464
KHM,2016,121.044857661075,121.044857661075
KHM,2015,117.497445574856,117.497445574856
KHM,2014,116.076745197925,116.076745197925
KHM,2013,111.767344424509,111.767344424509
KHM,2012,108.573518555638,108.573518555638
KHM,2011,105.478447496174,105.478447496174
KHM,2010,100.0,100.0
CMR,2023,141.818332882446,141.818332882446
CMR,2022,132.067998413642,132.067998413642
CMR,2021,124.302010149149,124.302010149149
CMR,2020,121.540776745136,121.540776745136
CMR,2019,118.648588290011,118.648588290011
CMR,2018,115.808046057299,115.808046057299
CMR,2017,114.583313019794,114.583313019794
CMR,2016,113.854180430792,113.854180430792
CMR,2015,112.867503568736,112.867503568736
CMR,2014,109.925634907972,109.925634907972
CMR,2013,107.923758722329,107.923758722329
CMR,2012,105.755405742962,105.755405742962
CMR,2011,102.939699463051,102.939699463051
CMR,2010,100.0,100.0
CAN,2023,134.895535203205,134.895535203205
CAN,2022,129.858328563251,129.858328563251
CAN,2021,121.587006296508,121.587006296508
CAN,2020,117.594447624499,117.594447624499
CAN,2019,116.757298225529,116.757298225529
CAN,2018,114.524899828277,114.524899828277
CAN,2017,111.984831139096,111.984831139096
CAN,2016,110.224670864339,110.224670864339
CAN,2015,108.672009158557,108.672009158557
CAN,2014,107.462793360046,107.462793360046
CAN,2013,105.452203777905,105.452203777905
CAN,2012,104.471951917573,104.471951917573
CAN,2011,102.912135088724,102.912135088724
CAN,2010,100.0,100.0
CYM,2016,102.941899128965,102.941899128965
CYM,2015,103.589601772708,103.589601772708
CYM,2014,106.079855772852,106.079855772852
CYM,2013,104.745420985232,104.745420985232
CYM,2012,102.530142958183,102.530142958183
CYM,2011,101.325435757797,101.325435757797
CYM,2010,100.0,100.0
CAF,2023,175.005796934209,175.005796934209
CAF,2022,169.942960718886,169.942960718886
CAF,2021,160.95649049113,160.95649049113
CAF,2020,154.380847959423,154.380847959423
CAF,2019,151.785085312376,151.785085312376
CAF,2018,147.815682079127,147.815682079127
CAF,2017,145.470469904858,145.470469904858
CAF,2016,139.632808518549,139.632808518549
CAF,2015,133.052773088714,133.052773088714
CAF,2014,131.211909142167,131.211909142167
CAF,2013,114.197921480885,114.197921480885
CAF,2012,106.73820858312,106.73820858312
CAF,2011,101.194475724499,101.194475724499
CAF,2010,100.0,100.0
TCD,2023,143.049515597449,143.049515597449
TCD,2022,129.063711291026,129.063711291026
TCD,2021,122.00219164626,122.00219164626
TCD,2020,122.952422521941,122.952422521941
TCD,2019,117.698204738763,117.698204738763
TCD,2018,118.853387371944,118.853387371944
TCD,2017,113.981125136835,113.981125136835
TCD,2016,115.760479031492,115.760479031492
TCD,2015,116.685139362731,116.685139362731
TCD,2014,111.791867727178,111.791867727178
TCD,2013,109.942661688985,109.942661688985
TCD,2012,109.698394557456,109.698394557456
TCD,2011,102.029240536783,102.029240536783
TCD,2010,100.0,100.0
CHL,2023,170.651472801548,170.651472801548
CHL,2022,158.625026875941,158.625026875941
CHL,2021,142.081272844549,142.081272844549
CHL,2020,135.930982584391,135.930982584391
CHL,2019,131.913566974844,131.913566974844
CHL,2018,128.623951838314,128.623951838314
CHL,2017,125.566544829069,125.566544829069
CHL,2016,122.884325951408,122.884325951408
CHL,2015,118.401419049667,118.401419049667
CHL,2014,113.466996344872,113.466996344872
CHL,2013,108.354117394109,108.354117394109
CHL,2012,106.449150720275,106.449150720275
CHL,2011,103.341216942593,103.341216942593
CHL,2010,100.0,100.0
CHN,2023,132.229151902431,132.229151902431
CHN,2022,131.919356668535,131.919356668535
CHN,2021,129.366216637457,129.366216637457
CHN,2020,128.109443605623,128.109443605623
CHN,2019,125.083154382075,125.083154382075
CHN,2018,121.558877866113,121.558877866113
CHN,2017,119.088050428682,119.088050428682
CHN,2016,117.220567369674,117.220567369674
CHN,2015,114.922122819495,114.922122819495
CHN,2014,113.294060199837,113.294060199837
CHN,2013,111.158001765192,111.158001765192
CHN,2012,108.318908982374,108.318908982374
CHN,2011,105.553898922575,105.553898922575
CHN,2010,100.0,100.0
COL,2023,184.119324369034,184.119324369034
